,beech,douglas fir,fir,larch,oak,other deciduous,pine,spruce
precision,0.898,0.8699324,0.95728153,0.93,0.84836066,0.777667,0.954342,0.87122416
recall,0.8017857,0.932971,0.9801193,0.9082031,0.779661,0.8803612,0.9277633,0.84178185
f1,0.84716976,0.9003496,0.96856576,0.9189723,0.8125613,0.8258338,0.9408649,0.85625
